epoch,loss,accuracy,val_loss,val_accuracy
1,4.48139685850877,0.06370192,4.97540647012216,0.1388888955116272
2,4.007316589355469,0.13461539,6.574814390253137,0.17129629850387573
3,3.714199414620033,0.19711539,7.137549470972131,0.17129629850387573
4,3.4683040655576267,0.234375,5.708926077242251,0.21759259700775146
5,3.2322934774252086,0.29206732,4.931989034016927,0.25462964177131653
6,3.0221872329711914,0.31971154,5.028503400308114,0.28240740299224854
7,2.8872376588674693,0.35576922,4.210185404177065,0.36574074625968933
8,2.565687106205867,0.43870193,4.085331563596372,0.35648149251937866
9,2.4737604214594913,0.47596154,4.6069751845465765,0.375
10,2.4900994300842285,0.48317307,4.0737668496591075,0.40740740299224854
11,2.29666020320012,0.5348558,3.543958814055831,0.36574074625968933
12,2.1670684814453125,0.53365386,3.246183642634639,0.4027777910232544
13,2.062071470113901,0.58413464,3.1532449545683683,0.4166666567325592
14,1.9667017551568837,0.62259614,2.7394043427926524,0.42129629850387573
15,1.9237040556394136,0.62740386,2.468797719037091,0.46759259700775146
16,1.9366042705682607,0.64783657,2.379032258634214,0.46759259700775146
17,1.776096298144414,0.671875,2.524131492332176,0.46759259700775146
18,1.792251155926631,0.6550481,2.174559125193843,0.46296295523643494
19,1.6511945724487305,0.69471157,2.7205876862561262,0.43518519401550293
20,1.6048342906511748,0.6766827,2.463353563238073,0.46759259700775146
21,1.5700889550722563,0.7331731,2.46987537101463,0.43981480598449707
22,1.595930420435392,0.7463942,2.447553352073387,0.43981480598449707
23,1.462300025499784,0.765625,2.5743535359700522,0.4722222089767456
24,1.4536473567669208,0.78846157,2.312957763671875,0.46759259700775146
25,1.513853641656729,0.75961536,2.3036088325359203,0.49537035822868347
26,1.364853363770705,0.796875,2.2077973418765597,0.5
27,1.389347058076125,0.8004808,2.249788686081215,0.5046296119689941
28,1.3573333391776452,0.8233173,2.2705393853010953,0.44907405972480774
29,1.306428299500392,0.81009614,2.3499318935253,0.49074074625968933
30,1.360334616440993,0.80408657,2.07512570310522,0.5462962985038757
31,1.3525088200202355,0.8173077,2.4927101576769792,0.4444444477558136
32,1.350704624102666,0.8088942,2.2771261003282337,0.45370370149612427
33,1.325605571269989,0.81009614,2.1215578052732678,0.5046296119689941
34,1.2947931106273944,0.84134614,2.0033920341067843,0.5370370149612427
35,1.3075583623005793,0.82572114,1.9866454203923543,0.5231481194496155
36,1.3153922374431903,0.83774036,2.2858910030788846,0.46759259700775146
37,1.24888525559352,0.83653843,2.159477198565448,0.5046296119689941
38,1.1655295170270479,0.8641827,2.193346032389888,0.5046296119689941
39,1.2801006848995502,0.8557692,2.1285331779056125,0.5
40,1.2443801348025982,0.85096157,2.0186488186871565,0.5324074029922485
41,1.2010051562235906,0.86177886,1.9529946512646146,0.5138888955116272
42,1.2072451573151808,0.86177886,2.150890522532993,0.5138888955116272
43,1.2028167981367845,0.8629808,2.2977481948004828,0.5
44,1.191387612086076,0.8545673,2.2876767140847667,0.47685185074806213
45,1.285424645130451,0.8581731,2.1690902091838695,0.4861111044883728
46,1.1832336141512945,0.87259614,2.0616288979848227,0.47685185074806213
47,1.185894053715926,0.8894231,2.071146430792632,0.5231481194496155
48,1.205427532012646,0.86899036,2.067413647969564,0.5324074029922485
49,1.1594328375963063,0.8701923,2.1537605921427407,0.5
50,1.1796969633836012,0.85697114,2.0396805780905263,0.5231481194496155
51,1.1756158287708576,0.8942308,2.111229998094064,0.5370370149612427
52,1.155617975271665,0.88341343,2.1542053399262606,0.5092592835426331
53,1.182157773237962,0.8858173,1.9765602261931807,0.5092592835426331
54,1.0800531919185932,0.89302886,2.0054045341632984,0.5416666865348816
55,1.1964266804548411,0.8713942,2.374957897044994,0.4861111044883728
56,1.1478984585175147,0.8762019,2.0916385341573647,0.5
57,1.14975434083205,0.8870192,2.1295965600896767,0.49537035822868347
58,1.1018363329080434,0.8918269,2.3723033975671837,0.45370370149612427
59,1.1609505873460035,0.88341343,2.083474843590348,0.5138888955116272
60,1.1759477670376117,0.89302886,2.19617587990231,0.48148149251937866
61,1.1283152470221887,0.90024036,2.196148819393582,0.5
62,1.1473645155246441,0.9014423,2.40755123562283,0.4722222089767456
63,1.0979461624072149,0.8870192,2.0531505831965693,0.5
64,1.1202675425089323,0.890625,2.149574156160708,0.5
65,1.1307579966691823,0.8870192,2.1586532018802784,0.4722222089767456
66,1.1470422423802888,0.9098558,2.155996874526695,0.5
67,1.1037400915072515,0.89663464,2.089656428054527,0.5231481194496155
68,1.0914123516816359,0.9014423,2.179697593053182,0.47685185074806213
69,1.0791030113513653,0.8894231,2.142020172542996,0.5046296119689941
70,1.0809690264555125,0.88822114,2.0276094101093434,0.5138888955116272
71,1.113601565361023,0.87740386,2.0745410168612444,0.5185185074806213
72,1.13924345603356,0.89302886,2.182624097223635,0.47685185074806213
73,1.126894657428448,0.90384614,2.2413415864661888,0.48148149251937866
74,1.0859271746415358,0.9026442,2.234807809193929,0.48148149251937866
75,1.1105106060321515,0.9074519,2.1797463805587203,0.49074074625968933
76,1.0733017187852125,0.9026442,2.3277631070878773,0.5046296119689941
77,1.0932052593964796,0.9170673,2.162021010010331,0.5046296119689941
78,1.0134028654832106,0.9050481,2.110099465758712,0.5231481194496155
79,1.0611443794690645,0.9014423,1.9876291796013161,0.5231481194496155
80,1.0924999622198253,0.9098558,2.142971502410041,0.5
81,1.0577450486329885,0.91586536,1.9964785266805578,0.5462962985038757
82,1.120412643139179,0.9050481,2.2121258355953075,0.5231481194496155
83,1.071187674999237,0.9182692,2.2711605584179915,0.5138888955116272
84,1.016518248961522,0.91466343,2.055021082913434,0.5185185074806213
85,1.0348437841121967,0.90865386,2.206330140431722,0.5231481194496155
86,1.0209681620964637,0.9254808,2.1766426828172474,0.5092592835426331
87,1.0991454124450684,0.90384614,2.301616483264499,0.47685185074806213
88,1.0656434160012465,0.9026442,2.2288868029912314,0.5046296119689941
89,1.0848733140872076,0.9026442,2.1384012831581964,0.5092592835426331
90,1.1074946889510522,0.91225964,2.153382239518342,0.5462962985038757
91,1.0539941375072186,0.89663464,2.391452992403949,0.48148149251937866
92,1.0657631021279554,0.9230769,2.1490698125627308,0.5324074029922485
93,1.0858880281448364,0.89302886,2.1180655073236534,0.5277777910232544
94,0.9247531340672419,0.92908657,2.224263147071556,0.5046296119689941
95,1.0535589502407954,0.9098558,2.1664797288400157,0.5277777910232544
96,0.997769296169281,0.92908657,2.1796294185850353,0.5
97,1.0711611188375032,0.90625,2.4278536858382047,0.49074074625968933
98,1.0310487013596754,0.9206731,2.179761524553652,0.49074074625968933
99,1.0733622037447417,0.9170673,2.2883796471136586,0.48148149251937866
100,1.072618333192972,0.90865386,2.23867396513621,0.49537035822868347
